no,refer,ID,references,country,latitude,longitude,family,genus,specificEpithet
87,gbif,731856718,,Myanmar,,,Leucobryaceae,Leucobryum,
88,gbif,731856717,,Myanmar,,,Leucobryaceae,Leucobryum,
89,gbif,731856716,,Myanmar,,,Leucobryaceae,Leucobryum,
90,gbif,731856715,,Myanmar,,,Leucobryaceae,Leucobryum,
91,gbif,731856714,,Laos,,,Leucobryaceae,Leucobryum,
92,gbif,731856713,,Laos,,,Leucobryaceae,Leucobryum,
93,gbif,731856712,,Vietnam,,,Leucobryaceae,Leucobryum,
94,gbif,731856708,,Butan,,,Leucobryaceae,Leucobryum,
95,gbif,731856707,,India,,,Leucobryaceae,Leucobryum,
96,gbif,731856696,,Cambodia,,,Leucobryaceae,Leucobryum,
97,gbif,731856695,,Cambodia,,,Leucobryaceae,Leucobryum,
98,gbif,731856694,,Cambodia,,,Leucobryaceae,Leucobryum,
99,gbif,731856693,,Cambodia,,,Leucobryaceae,Leucobryum,
100,gbif,731856692,,Cambodia,,,Leucobryaceae,Leucobryum,
101,gbif,731856595,,Sri Lanka,,,Leucobryaceae,Leucobryum,
102,gbif,731856592,,India,,,Leucobryaceae,Leucobryum,
103,gbif,731856548,,India,,,Leucobryaceae,Leucobryum,
104,gbif,731856547,,Nepal,,,Leucobryaceae,Leucobryum,
105,gbif,731856448,,Thailand,,,Leucobryaceae,Leucobryum,
106,gbif,731855725,,Sri Lanka,,,Leucobryaceae,Leucobryum,
107,gbif,731855710,,India,,,Leucobryaceae,Leucobryum,
108,gbif,731855580,,Hong Kong,,,Leucobryaceae,Leucobryum,
109,gbif,731855579,,Hong Kong,,,Leucobryaceae,Leucobryum,
110,gbif,731855574,,Philippines,,,Leucobryaceae,Leucobryum,
111,gbif,731855573,,Philippines,,,Leucobryaceae,Leucobryum,
112,gbif,731855572,,Philippines,,,Leucobryaceae,Leucobryum,
113,gbif,731855571,,Vietnam,,,Leucobryaceae,Leucobryum,
114,gbif,731855570,,Vietnam,,,Leucobryaceae,Leucobryum,
115,gbif,731855567,,Laos,,,Leucobryaceae,Leucobryum,
116,gbif,731855566,,India,,,Leucobryaceae,Leucobryum,
117,gbif,70767348,,China,35,100,Leucobryaceae,Leucobryum,glaucum
118,gbif,694195242,,China,,,Leucobryaceae,Leucobryum,
119,gbif,694195240,,Vietnam,,,Leucobryaceae,Leucobryum,
120,gbif,694195234,,China,,,Leucobryaceae,Leucobryum,
121,gbif,694195232,,Vietnam,,,Leucobryaceae,Leucobryum,
122,gbif,694195231,,Vietnam,,,Leucobryaceae,Leucobryum,
123,gbif,694195228,,Vietnam,,,Leucobryaceae,Leucobryum,
124,gbif,694195224,,Vietnam,,,Leucobryaceae,Leucobryum,
125,gbif,694195222,,Vietnam,,,Leucobryaceae,Leucobryum,
126,gbif,694195221,,China,,,Leucobryaceae,Leucobryum,
127,gbif,694195215,,Vietnam,,,Leucobryaceae,Leucobryum,
128,gbif,694195213,,Vietnam,,,Leucobryaceae,Leucobryum,
129,gbif,694195211,,Vietnam,,,Leucobryaceae,Leucobryum,
130,gbif,694195209,,Vietnam,,,Leucobryaceae,Leucobryum,
131,gbif,694195207,,Vietnam,,,Leucobryaceae,Leucobryum,
132,gbif,694195059,,Hong Kong,,,Leucobryaceae,Leucobryum,
133,gbif,694195058,,Hong Kong,,,Leucobryaceae,Leucobryum,
